example_type,query_path,true_id,pred_top1,top1_similarity,top1_correct,top_5_candidates
correct_high_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\007\000015.jpg,007,007,0.9999997019767761,1,007|007|007|007|007
correct_high_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\015\000023.jpg,015,015,0.9999992847442627,1,015|015|015|015|015
correct_high_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\015\000025.jpg,015,015,0.9999986886978149,1,015|015|015|015|015
correct_high_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\017\000010.jpg,017,017,0.9999985694885254,1,017|011|011|017|017
correct_high_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\014\000013.jpg,014,014,0.9999983906745911,1,014|014|014|014|014
correct_high_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\015\000019.jpg,015,015,0.999998152256012,1,015|015|015|015|015
correct_high_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\014\000029.jpg,014,014,0.9999973773956299,1,014|014|014|014|014
correct_high_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\046\000001.jpg,046,046,0.9999971389770508,1,046|046|046|046|046
correct_high_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\015\000015.jpg,015,015,0.9999967217445374,1,015|015|015|015|015
correct_high_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\015\000026.jpg,015,015,0.9999962449073792,1,015|015|015|015|015
incorrect_high_score,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\024\000003.jpg,024,029,0.9999839663505554,0,029|024|024|029|024
incorrect_high_score,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\027\000006.jpg,027,025,0.9999704360961914,0,025|027|027|025|025
incorrect_high_score,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\011\000008.jpg,011,013,0.9999613761901855,0,013|013|013|013|013
incorrect_high_score,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\013\000018.jpg,013,017,0.9999340772628784,0,017|011|015|011|011
incorrect_high_score,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\017\000012.jpg,017,015,0.9998959898948669,0,015|011|011|011|017
incorrect_high_score,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\003\000001.jpg,003,012,0.9998943209648132,0,012|003|003|003|003
incorrect_high_score,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\012\000011.jpg,012,001,0.9998126029968262,0,001|012|012|012|012
incorrect_high_score,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\013\000023.jpg,013,011,0.9998006224632263,0,011|011|013|013|013
incorrect_high_score,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\003\000005.jpg,003,012,0.9997957944869995,0,012|012|012|012|005
incorrect_high_score,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\012\000014.jpg,012,008,0.9997844099998474,0,008|008|012|003|008
correct_low_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\019\000005.jpg,019,019,0.9887322187423706,1,019|023|019|023|023
correct_low_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\009\000001.jpg,009,009,0.9880955219268799,1,009|009|022|020|020
correct_low_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\004\000015.jpg,004,004,0.9878098964691162,1,004|004|004|004|004
correct_low_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\040\000001.jpg,040,040,0.9865320324897766,1,040|040|040|040|040
correct_low_confidence,data\raw\opencows2020\10m32xl88x2b61zlkkgz3fml17\identification\images\test\034\000001.jpg,034,034,0.9729858040809631,1,034|028|035|034|034
